source_file,asset_canonical_id,display_name,category,mapping_status,canonical_id,family_id,slot_id,visual_reference_id,binding_ids,task_reference_ids,target_resource_path,usage_interfaces,variant,mapping_reason,sha256
merged_final_assets/batch01/px_equipment__entity.equipment.ad153fc7e9b82159__v001.png,visual.asset.ff48b5014ab654b4,+地魔龙脊护肩,equipment,mapped_explicit_canonical,entity.equipment.ad153fc7e9b82159,,,,entity.equipment.ad153fc7e9b82159,,assets/authoritative/batch01/ff48b5014ab654b4.png,装备|背包|战斗,base,源文件名包含明确 canonical_id，直接绑定正式实体。,ff48b5014ab654b4fcd96c3e8146ae77e2dadda8229a7aeac224880f5f6ecdd7
merged_final_assets/batch01/px_equipment__entity.equipment.af99781bac5b5b21__v001.png,visual.asset.60eba00a3a7582b1,+地魔回魂之恋,equipment,mapped_explicit_canonical,entity.equipment.af99781bac5b5b21,,,,entity.equipment.af99781bac5b5b21,,assets/authoritative/batch01/60eba00a3a7582b1.png,装备|背包|战斗,base,源文件名包含明确 canonical_id，直接绑定正式实体。,60eba00a3a7582b1004c43f74524e18900b5d4a88d0ceca6fc85e8a7b03b244f
merged_final_assets/batch01/px_equipment__entity.equipment.c633d6db53aca205__v001.png,visual.asset.23dba89384f77071,+地魔龙角羽冠,equipment,mapped_explicit_canonical,entity.equipment.c633d6db53aca205,,,,entity.equipment.c633d6db53aca205,,assets/authoritative/batch01/23dba89384f77071.png,装备|背包|战斗,base,源文件名包含明确 canonical_id，直接绑定正式实体。,23dba89384f77071bd64a7540fb0c7822019c347269301ca5abff40ef01c7981
merged_final_assets/batch01/px_equipment__entity.equipment.d71454a4426cdc9c__v001.png,visual.asset.29b006358be570f6,+地魔龙爪之靴,equipment,mapped_explicit_canonical,entity.equipment.d71454a4426cdc9c,,,,entity.equipment.d71454a4426cdc9c,,assets/authoritative/batch01/29b006358be570f6.png,装备|背包|战斗,base,源文件名包含明确 canonical_id，直接绑定正式实体。,29b006358be570f60b109780f425866efed100c7f820dfb4f67ad0902b57f486
merged_final_assets/batch01/px_equipment__entity.equipment.597b7a87d7ba7771__v001.png,visual.asset.718b6aa738d3ad5c,+地魔龙鳞绑腿,equipment,mapped_explicit_canonical,entity.equipment.597b7a87d7ba7771,,,,entity.equipment.597b7a87d7ba7771,,assets/authoritative/batch01/718b6aa738d3ad5c.png,装备|背包|战斗,base,源文件名包含明确 canonical_id，直接绑定正式实体。,718b6aa738d3ad5c3e523808aae8916b7efe0907fb04176250c6b3f0ec54be11
merged_final_assets/batch01/px_equipment__entity.equipment.1ef177807961d5b6__v001.png,visual.asset.046059111a29b6e4,天魔惊神指,equipment,mapped_explicit_canonical,entity.equipment.1ef177807961d5b6,,,,entity.equipment.1ef177807961d5b6,,assets/authoritative/batch01/046059111a29b6e4.png,装备|背包|战斗,base,源文件名包含明确 canonical_id，直接绑定正式实体。,046059111a29b6e414215c5f20bcd8e64c2e8dde7883b3cda97a7aa35b2efc67
merged_final_assets/batch01/px_equipment__entity.equipment.1ef177807961d5b6__rare_glow__v001.png,visual.asset.c73716e2a8b3642b,天魔惊神指_稀有发光,equipment,mapped_explicit_canonical,entity.equipment.1ef177807961d5b6,,,,entity.equipment.1ef177807961d5b6,,assets/authoritative/batch01/c73716e2a8b3642b.png,装备|背包|战斗,rare_glow,源文件名包含明确 canonical_id，直接绑定正式实体。,c73716e2a8b3642b1d546a09836147bdab543c6abe818444c427931d69f8816c
merged_final_assets/batch01/px_equipment__entity.equipment.67dc4911873e9eed__v001.png,visual.asset.62d1e8d38947d05d,天魔轮回杖,equipment,mapped_explicit_canonical,entity.equipment.67dc4911873e9eed,,,,entity.equipment.67dc4911873e9eed,,assets/authoritative/batch01/62d1e8d38947d05d.png,装备|背包|战斗,base,源文件名包含明确 canonical_id，直接绑定正式实体。,62d1e8d38947d05d63534a96ccf3de8f903500021264e69a3483f8d5313bb55e
merged_final_assets/batch01/px_equipment__entity.equipment.67dc4911873e9eed__rare_glow__v001.png,visual.asset.6b8afa0d088723ca,天魔轮回杖_稀有发光,equipment,mapped_explicit_canonical,entity.equipment.67dc4911873e9eed,,,,entity.equipment.67dc4911873e9eed,,assets/authoritative/batch01/6b8afa0d088723ca.png,装备|背包|战斗,rare_glow,源文件名包含明确 canonical_id，直接绑定正式实体。,6b8afa0d088723ca938e2bc5ba9419a3b041e43615fbc63e8b5821a6bf497a9c
merged_final_assets/batch01/px_equipment__entity.equipment.d319659d3957c117__v001.png,visual.asset.46424fd47c16a8de,天魔风雷链,equipment,mapped_explicit_canonical,entity.equipment.d319659d3957c117,,,,entity.equipment.d319659d3957c117,,assets/authoritative/batch01/46424fd47c16a8de.png,装备|背包|战斗,base,源文件名包含明确 canonical_id，直接绑定正式实体。,46424fd47c16a8de23b994b6215769a122696574e7cc451499b60ff657103e52
merged_final_assets/batch01/px_equipment__entity.equipment.d319659d3957c117__rare_glow__v001.png,visual.asset.1d816a643be62a6d,天魔风雷链_稀有发光,equipment,mapped_explicit_canonical,entity.equipment.d319659d3957c117,,,,entity.equipment.d319659d3957c117,,assets/authoritative/batch01/1d816a643be62a6d.png,装备|背包|战斗,rare_glow,源文件名包含明确 canonical_id，直接绑定正式实体。,1d816a643be62a6d592aa534e9fe404b6b9436f0f0deda86361bb44403699552
merged_final_assets/batch01/px_equipment__entity.equipment.af7da4213d474335__v001.png,visual.asset.ed9b5afd18b127c8,凤凰的右爪,equipment,mapped_explicit_canonical,entity.equipment.af7da4213d474335,,,,entity.equipment.af7da4213d474335,,assets/authoritative/batch01/ed9b5afd18b127c8.png,装备|背包|战斗,base,源文件名包含明确 canonical_id，直接绑定正式实体。,ed9b5afd18b127c821e61f0a5236c113e88e7880227428e20f18888c72a79982
merged_final_assets/batch01/px_equipment__entity.equipment.af7da4213d474335__rare_glow__v001.png,visual.asset.7b60baa165997cdc,凤凰的右爪_稀有发光,equipment,mapped_explicit_canonical,entity.equipment.af7da4213d474335,,,,entity.equipment.af7da4213d474335,,assets/authoritative/batch01/7b60baa165997cdc.png,装备|背包|战斗,rare_glow,源文件名包含明确 canonical_id，直接绑定正式实体。,7b60baa165997cdc460f6c692b259eafdf74ca2d44787d6ea34ece8d98502a0a
merged_final_assets/batch01/px_equipment__entity.equipment.4ff3392bab5f2618__v001.png,visual.asset.5635d287068e904f,麦哲伦之匕,equipment,mapped_explicit_canonical,entity.equipment.4ff3392bab5f2618,,,,entity.equipment.4ff3392bab5f2618,,assets/authoritative/batch01/5635d287068e904f.png,装备|背包|战斗,base,源文件名包含明确 canonical_id，直接绑定正式实体。,5635d287068e904fd57b7e6158b574d657d4d00e118406684b4d4d25723d6cec
merged_final_assets/batch01/px_equipment__entity.equipment.0f88405e7689961e__v001.png,visual.asset.5d3a61a13910dedb,+麦哲伦之匕,equipment,mapped_explicit_canonical,entity.equipment.0f88405e7689961e,,,,entity.equipment.0f88405e7689961e,,assets/authoritative/batch01/5d3a61a13910dedb.png,装备|背包|战斗,base,源文件名包含明确 canonical_id，直接绑定正式实体。,5d3a61a13910dedb96bb86643d441c9ed872345bb7e4185d7f62f5ab6104a44b
merged_final_assets/batch01/px_equipment__entity.equipment.ff0dc7b5f26e07f2__v001.png,visual.asset.2bd044df9ef2b149,麦哲伦之戒,equipment,mapped_explicit_canonical,entity.equipment.ff0dc7b5f26e07f2,,,,entity.equipment.ff0dc7b5f26e07f2,,assets/authoritative/batch01/2bd044df9ef2b149.png,装备|背包|战斗,base,源文件名包含明确 canonical_id，直接绑定正式实体。,2bd044df9ef2b1495909e61f68d39574be26e4697441f2f9e0e22c77169f81f9
merged_final_assets/batch01/px_equipment__entity.equipment.af15ba18a7bcece5__v001.png,visual.asset.14aa01b26493153d,麦哲伦之腰带,equipment,mapped_explicit_canonical,entity.equipment.af15ba18a7bcece5,,,,entity.equipment.af15ba18a7bcece5,,assets/authoritative/batch01/14aa01b26493153d.png,装备|背包|战斗,base,源文件名包含明确 canonical_id，直接绑定正式实体。,14aa01b26493153ddf39395b4f2590cdf8457de31845807fa4d2fb4f125df212
merged_final_assets/batch01/px_equipment__entity.equipment.0f88405e7689961e__rare_glow__v001.png,visual.asset.9f7c534adbe64506,+麦哲伦之匕_稀有发光,equipment,mapped_explicit_canonical,entity.equipment.0f88405e7689961e,,,,entity.equipment.0f88405e7689961e,,assets/authoritative/batch01/9f7c534adbe64506.png,装备|背包|战斗,rare_glow,源文件名包含明确 canonical_id，直接绑定正式实体。,9f7c534adbe645063c01bac22028f58f3862dce55f5b6d4b4cfd4899cf17cead
merged_final_assets/batch01/px_equipment__entity.equipment.ff0dc7b5f26e07f2__rare_glow__v001.png,visual.asset.5a54feeb9b2c2873,麦哲伦之戒_稀有发光,equipment,mapped_explicit_canonical,entity.equipment.ff0dc7b5f26e07f2,,,,entity.equipment.ff0dc7b5f26e07f2,,assets/authoritative/batch01/5a54feeb9b2c2873.png,装备|背包|战斗,rare_glow,源文件名包含明确 canonical_id，直接绑定正式实体。,5a54feeb9b2c28732cdaf15ec84e88752cba899a73064744e8126d78df307ecb
merged_final_assets/batch01/px_equipment__entity.equipment.af15ba18a7bcece5__rare_glow__v001.png,visual.asset.992a5c1a2c1e6cf4,麦哲伦之腰带_稀有发光,equipment,mapped_explicit_canonical,entity.equipment.af15ba18a7bcece5,,,,entity.equipment.af15ba18a7bcece5,,assets/authoritative/batch01/992a5c1a2c1e6cf4.png,装备|背包|战斗,rare_glow,源文件名包含明确 canonical_id，直接绑定正式实体。,992a5c1a2c1e6cf4c0ec2ff33d614926a4819c2d8022767fa6a8089a6d089ed0
merged_final_assets/batch02/01_蓬莱仙岛航海图.png,visual.asset.96f7e62d863b892d,蓬莱仙岛航海图,未分类,mapped_name_family,entity.item.c03243eec96ebf87,visual.family.73dce517c59cdf9a,,,entity.item.c03243eec96ebf87,,assets/authoritative/batch02/96f7e62d863b892d.png,背包|奖励,base,按名称与类型绑定全部一致实体。,96f7e62d863b892defba23d7cd794436b18bce6fde70bd5db2cc56b4c4e7dd57
merged_final_assets/batch02/02_大型鱼带泡船.png,visual.asset.83a2372ad1ef54ad,大型鱼带泡船,未分类,mapped_type_slot,,,visual.ship_type.65d8475a8c58dbb3,,entity.ship.65d8475a8c58dbb3,,assets/authoritative/batch02/83a2372ad1ef54ad.png,航海|船只|海上事件,base,绑定船型或海上事件视觉槽位；同一船型可服务多个正式船只。,83a2372ad1ef54ad6798a8aa40180b91319d4fee7c3fc1e0eae564ee9e088dd7
merged_final_assets/batch02/03_百宝箱.png,visual.asset.3f1c243cca7ad016,百宝箱,未分类,mapped_name_family,entity.item.dced9d406b3780ff,visual.family.7b2a5133349a7018,,,entity.item.dced9d406b3780ff,,assets/authoritative/batch02/3f1c243cca7ad016.png,背包|奖励,base,按名称与类型绑定全部一致实体。,3f1c243cca7ad016a4945ec7c26203f24266521aa1a719854acc26eae802aeeb
merged_final_assets/batch02/04_百宝箱_稀有版.png,visual.asset.a3ba0399ea3ac444,百宝箱·稀有版,未分类,mapped_variant_family,,visual.family.7b2a5133349a7018,,,,,assets/authoritative/batch02/a3ba0399ea3ac444.png,背包|奖励,rare_glow,作为“百宝箱”基础资产的视觉变体使用，不创建独立游戏实体。,a3ba0399ea3ac444e318fcffa97392bf0f87fe3782ca02d3ba96ee1eb472ebe0
merged_final_assets/batch02/05_百宝袋.png,visual.asset.45857985637900b0,百宝袋,未分类,mapped_name_family,runtime.item.f871288f0c675456,visual.family.f871288f0c675456,,,runtime.item.f871288f0c675456,,assets/authoritative/batch02/45857985637900b0.png,背包|奖励,base,按名称与类型绑定全部一致实体。,45857985637900b05b467fdef8376d768252bf39ec7ff5649b1e7e60afdc4f24
merged_final_assets/batch02/06_百宝袋_稀有版.png,visual.asset.3aecdc1be8d47ea4,百宝袋·稀有版,未分类,mapped_variant_family,,visual.family.f871288f0c675456,,,,,assets/authoritative/batch02/3aecdc1be8d47ea4.png,背包|奖励,rare_glow,作为“百宝袋”基础资产的视觉变体使用，不创建独立游戏实体。,3aecdc1be8d47ea4afe9df164514105ff1c0ba8a32497a3e943282cc77223d72
merged_final_assets/batch02/07_哥伦布之刃.png,visual.asset.b2c144c3fc8fbc7e,哥伦布之刃,未分类,mapped_name_family,entity.equipment.db9539f61ee47169,visual.family.db9539f61ee47169,,,entity.equipment.db9539f61ee47169,,assets/authoritative/batch02/b2c144c3fc8fbc7e.png,装备|背包|战斗,base,按名称与类型绑定全部一致实体。,b2c144c3fc8fbc7e3f9ba979a06ee75c1f4cec7e38aa31c0ae593646e961f53f
merged_final_assets/batch02/08_哥伦布之刃_稀有版.png,visual.asset.b292cb58446a131f,哥伦布之刃·稀有版,未分类,mapped_variant_family,,visual.family.db9539f61ee47169,,,,,assets/authoritative/batch02/b292cb58446a131f.png,装备|背包|战斗,rare_glow,作为“哥伦布之刃”基础资产的视觉变体使用，不创建独立游戏实体。,b292cb58446a131f6ebdacc2a07ede44dd28fd09cad35016734daf9a781fbcbe
merged_final_assets/batch02/09_哥伦布防御服.png,visual.asset.8baefc74f9ba1c8c,哥伦布防御服,未分类,mapped_name_family,entity.equipment.01695b52af71584d,visual.family.01695b52af71584d,,,entity.equipment.01695b52af71584d,,assets/authoritative/batch02/8baefc74f9ba1c8c.png,背包|奖励,base,按名称与类型绑定全部一致实体。,8baefc74f9ba1c8c98e359125cbabc7e51c5d25063e52086edde992c74a8af03
merged_final_assets/batch02/10_哥伦布防御服_稀有版.png,visual.asset.11a9e5177911669c,哥伦布防御服·稀有版,未分类,mapped_variant_family,,visual.family.01695b52af71584d,,,,,assets/authoritative/batch02/11a9e5177911669c.png,背包|奖励,rare_glow,作为“哥伦布防御服”基础资产的视觉变体使用，不创建独立游戏实体。,11a9e5177911669c22d857b8e825c11fd1af64cd2ecbb12df16e09716da58fae
merged_final_assets/batch02/11_哥伦布的铁盔.png,visual.asset.ee897b579d5bbb32,哥伦布的铁盔,未分类,mapped_name_family,entity.equipment.98529ccd81558bb0,visual.family.98529ccd81558bb0,,,entity.equipment.98529ccd81558bb0,,assets/authoritative/batch02/ee897b579d5bbb32.png,装备|背包|战斗,base,按名称与类型绑定全部一致实体。,ee897b579d5bbb32f59d9d95ab766c14f83b63bbf8b82e7c37bd1bb328b0c5a5
merged_final_assets/batch02/12_哥伦布的铁盔_稀有版.png,visual.asset.8e2df9864682b160,哥伦布的铁盔·稀有版,未分类,mapped_variant_family,,visual.family.98529ccd81558bb0,,,,,assets/authoritative/batch02/8e2df9864682b160.png,装备|背包|战斗,rare_glow,作为“哥伦布的铁盔”基础资产的视觉变体使用，不创建独立游戏实体。,8e2df9864682b160f0877a784d935970a17717385bf950024b16740094f8985f
merged_final_assets/batch02/13_哥伦布皮长靴.png,visual.asset.e797493f2f8d62a1,哥伦布皮长靴,未分类,mapped_name_family,entity.equipment.f484da158e237d99,visual.family.f484da158e237d99,,,entity.equipment.f484da158e237d99,,assets/authoritative/batch02/e797493f2f8d62a1.png,装备|背包|战斗,base,按名称与类型绑定全部一致实体。,e797493f2f8d62a195856917151a486156365a150d79f0b1ce7d35a873ddea6a
merged_final_assets/batch02/14_哥伦布皮长靴_稀有版.png,visual.asset.63bbc0df8794deb9,哥伦布皮长靴·稀有版,未分类,mapped_variant_family,,visual.family.f484da158e237d99,,,,,assets/authoritative/batch02/63bbc0df8794deb9.png,装备|背包|战斗,rare_glow,作为“哥伦布皮长靴”基础资产的视觉变体使用，不创建独立游戏实体。,63bbc0df8794deb9f746626b482c7e5bf8adcf7bbc0d3e312a5a8c5a4dd01c15
merged_final_assets/batch02/15_桂魄银蟾.png,visual.asset.72e8ca86146a5ce2,桂魄银蟾,未分类,mapped_name_family,entity.equipment.74350968e3e43981,visual.family.74350968e3e43981,,,entity.equipment.74350968e3e43981,,assets/authoritative/batch02/72e8ca86146a5ce2.png,背包|奖励,base,按名称与类型绑定全部一致实体。,72e8ca86146a5ce28832f16269819be0f2bf1a80ef84685fb5ebf7454097c772
merged_final_assets/batch02/16_桂魄银蟾_稀有版.png,visual.asset.c2bb7e097ff3afef,桂魄银蟾·稀有版,未分类,mapped_variant_family,,visual.family.74350968e3e43981,,,,,assets/authoritative/batch02/c2bb7e097ff3afef.png,背包|奖励,rare_glow,作为“桂魄银蟾”基础资产的视觉变体使用，不创建独立游戏实体。,c2bb7e097ff3afefd6c12968a5959e190584621c71ba0b676e8c3eb42c3687a0
merged_final_assets/batch02/17_玉兔绒衣.png,visual.asset.eb6ab5eb2ce91b11,玉兔绒衣,未分类,mapped_name_family,entity.equipment.5de2d5c77fed50a8,visual.family.5de2d5c77fed50a8,,,entity.equipment.5de2d5c77fed50a8,,assets/authoritative/batch02/eb6ab5eb2ce91b11.png,装备|背包|战斗,base,按名称与类型绑定全部一致实体。,eb6ab5eb2ce91b114fe03f77caa0b5539b76828156cbf8347f1d4b907b5e5fd5
merged_final_assets/batch02/18_玉兔绒衣_稀有版.png,visual.asset.b7e0f231ff744683,玉兔绒衣·稀有版,未分类,mapped_variant_family,,visual.family.5de2d5c77fed50a8,,,,,assets/authoritative/batch02/b7e0f231ff744683.png,装备|背包|战斗,rare_glow,作为“玉兔绒衣”基础资产的视觉变体使用，不创建独立游戏实体。,b7e0f231ff744683f8d27d8079e9e52129df76208ec97fbde0451c97fd2633b0
merged_final_assets/batch02/19_月宫仙子冠.png,visual.asset.eae579ba272b94b3,月宫仙子冠,未分类,mapped_name_family,entity.equipment.d77f203df5b97aca,visual.family.d77f203df5b97aca,,,entity.equipment.d77f203df5b97aca,,assets/authoritative/batch02/eae579ba272b94b3.png,装备|背包|战斗,base,按名称与类型绑定全部一致实体。,eae579ba272b94b337136561b0deb5cd83c27a76ba0cedb4611fd8b1423fc9eb
merged_final_assets/batch02/20_月宫仙子冠_稀有版.png,visual.asset.489e29e53a7e919f,月宫仙子冠·稀有版,未分类,mapped_variant_family,,visual.family.d77f203df5b97aca,,,,,assets/authoritative/batch02/489e29e53a7e919f.png,装备|背包|战斗,rare_glow,作为“月宫仙子冠”基础资产的视觉变体使用，不创建独立游戏实体。,489e29e53a7e919fd20ac540dc467763c8a69eb0fba1d51fe98236f66b8c0d3d
merged_final_assets/batch02/21_船锚.png,visual.asset.32119f99f9dc8369,船锚,未分类,mapped_name_family,entity.equipment.10dc3022a8f21331,visual.family.10dc3022a8f21331,,,entity.equipment.10dc3022a8f21331,,assets/authoritative/batch02/32119f99f9dc8369.png,背包|奖励,base,按名称与类型绑定全部一致实体。,32119f99f9dc83699930e4ad532379ea00c254284ded8838b1762f4d995c30b4
merged_final_assets/batch02/22_航海图卷.png,visual.asset.21e1fd289fe9a4c2,航海图卷,未分类,mapped_name_family,entity.equipment.7c42a46337706f8a,visual.family.7c42a46337706f8a,,,entity.equipment.7c42a46337706f8a,,assets/authoritative/batch02/21e1fd289fe9a4c2.png,背包|奖励,base,按名称与类型绑定全部一致实体。,21e1fd289fe9a4c21137959958227943dec3a94ca3e88d7a6ba28743174976aa
merged_final_assets/batch02/23_航海护符.png,visual.asset.627c9c66d8d7a3b5,航海护符,未分类,mapped_name_family,entity.equipment.4c46d06cd54bedad,visual.family.4c46d06cd54bedad,,,entity.equipment.4c46d06cd54bedad,,assets/authoritative/batch02/627c9c66d8d7a3b5.png,背包|奖励,base,按名称与类型绑定全部一致实体。,627c9c66d8d7a3b572c9b4490b406f123378656b59ae40835672eb1f7a6a9d85
merged_final_assets/batch02/24_航海勋章.png,visual.asset.66d852de97be651b,航海勋章,未分类,mapped_name_family,entity.equipment.9af92b48d893bdcd,visual.family.9af92b48d893bdcd,,,entity.equipment.9af92b48d893bdcd,,assets/authoritative/batch02/66d852de97be651b.png,背包|奖励,base,按名称与类型绑定全部一致实体。,66d852de97be651b4982b145c032c7a5a6e676607f712f6759e1bc27da6c5751
merged_final_assets/batch02/25_航海腰带.png,visual.asset.b295b2b63f5470cd,航海腰带,未分类,mapped_name_family,entity.equipment.54f2dd75181c255e,visual.family.54f2dd75181c255e,,,entity.equipment.54f2dd75181c255e,,assets/authoritative/batch02/b295b2b63f5470cd.png,装备|背包|战斗,base,按名称与类型绑定全部一致实体。,b295b2b63f5470cd5a3be9a6dddcc712d84f70a9d0f947822db5d5f5c80db274
merged_final_assets/batch02/26_海军匕首.png,visual.asset.9d40f06b905b1cba,海军匕首,未分类,mapped_name_family,entity.equipment.dded10333118f8e5,visual.family.dded10333118f8e5,,,entity.equipment.dded10333118f8e5,,assets/authoritative/batch02/9d40f06b905b1cba.png,装备|背包|战斗,base,按名称与类型绑定全部一致实体。,9d40f06b905b1cba7e84c890f3ad15e6f34f9dbaa7614c051fbfe7a3fe10475c
merged_final_assets/batch02/27_海军外套.png,visual.asset.4953f24bb13bddfd,海军外套,未分类,mapped_name_family,entity.equipment.15398aab12c7137c,visual.family.15398aab12c7137c,,,entity.equipment.15398aab12c7137c,,assets/authoritative/batch02/4953f24bb13bddfd.png,背包|奖励,base,按名称与类型绑定全部一致实体。,4953f24bb13bddfd289915795ff53aab9a68d22abaabc689d36031be18b1d9a9
merged_final_assets/batch02/28_远洋帆船.png,visual.asset.4b89c25875b79f28,远洋帆船,未分类,mapped_type_slot,,,visual.ship_type.f90a7ca93f90a4c8,,entity.ship.c15e0dbe8ed8061f|entity.ship.1144799cb8ed2a29,,assets/authoritative/batch02/4b89c25875b79f28.png,航海|船只|海上事件,base,绑定船型或海上事件视觉槽位；同一船型可服务多个正式船只。,4b89c25875b79f285b580e3dfb75f1d85fc834465943d54162e77be8b058c6ff
merged_final_assets/batch02/29_红宝石戒指.png,visual.asset.6ff62aa6a9565657,红宝石戒指,未分类,mapped_name_family,entity.equipment.6b334515180fd342,visual.family.6b334515180fd342,,,entity.equipment.6b334515180fd342,,assets/authoritative/batch02/6ff62aa6a9565657.png,装备|背包|战斗,base,按名称与类型绑定全部一致实体。,6ff62aa6a9565657232c1560394de48b01750b982b369652d0ece507321fdaab
merged_final_assets/batch02/30_黄金金币.png,visual.asset.bfaa59656978c54a,黄金金币,未分类,mapped_name_family,runtime.item.ddcee7db71d17ef9,visual.family.ddcee7db71d17ef9,,,runtime.item.ddcee7db71d17ef9,,assets/authoritative/batch02/bfaa59656978c54a.png,背包|奖励,base,按名称与类型绑定全部一致实体。,bfaa59656978c54a5db6c860a95aedc1371ffbc74f471aae181d0c93c5f316be
merged_final_assets/batch03/01_白虎王.png,visual.asset.cb7a478ff0a3093a,白虎王,怪物,mapped_name_family,,visual.family.monster.e6b93b7f2a2ed212,,,derived.monster_definition.516371b31cae97a4,,assets/authoritative/batch03/cb7a478ff0a3093a.png,战斗|任务|掉落提示,base,绑定全部同名怪物定义与放置实例。,cb7a478ff0a3093a9e3497e8b342d7981aa59b59bddb4649588e5dd4f563d139
